Month,Projected Revenue,Projected Expenses,Net Income
2024-04-30 05:51:18.509588,12000,7000,5000
2024-05-31 05:51:18.509588,15000,8000,7000
2024-06-30 05:51:18.509588,18000,7500,10500
2024-07-31 05:51:18.509588,20000,7800,12200
2024-08-31 05:51:18.509588,22000,8200,13800
2024-09-30 05:51:18.509588,25000,8500,16500
2024-10-31 05:51:18.509588,28000,9000,19000
2024-11-30 05:51:18.509588,30000,9300,20700
2024-12-31 05:51:18.509588,32000,9500,22500
2025-01-31 05:51:18.509588,35000,9800,25200
2025-02-28 05:51:18.509588,37000,10000,27000
2025-03-31 05:51:18.509588,40000,10500,29500
